no,id_site,id_jenis,nama_site,latitude,longitude,elevasi,provinsi,kanwil,kabupaten,kecamatan,desa,pos,alamat,th_pengadaan,pengadaan,merk,tipe
1,50006,X5,IKRO Staklim Aceh,5.403609,95.464794,,Aceh,Bawil I,Aceh Besar,Indrapuri,Lampanah,23373,"Jl. Banda Aceh - Medan KM. 27.5, Indrapuri, Aceh Besar",2018,Deputi Klimatologi,SPL,XSYS 2
2,50019,X5,IKRO Staklim Sumatera Utara,3.620937,98.714706,,Sumatera Utara,Bawil I,Deli Serdang,Percut Sei Tuan,Sampali,20371,"Jl. Meteorologi Raya No. 17, Sampali, Medan",2020,Deputi Klimatologi,SPL,XSYS 2
3,50002,X5,IKRO Staklim Sumatera Barat,-0.545277,100.297777,,Sumatera Barat,Bawil I,Padang Pariaman,2 x 11 Kayu Taman,Kapalo Hilalang,25584,"Jl. Raya Padang - Bukittinggi KM. 51, Kapalo Hilalang, Sumatera Barat",2018,Deputi Klimatologi,SPL,XSYS 2
4,50015,X5,IKRO Staklim Riau,0.407183,101.216933,,Riau,Bawil I,Kampar,Tambang,Kuapan,28464,"Jl. Unggas Kel. Simpang Tiga, Kec. Bukit Raya, Kota Pekanbaru, Riau",2019,Deputi Klimatologi,SPL,XSYS 2
5,50009,X5,IKRO Staklim Jambi,-1.601110,103.944000,,Jambi,Bawil II,Muaro Jambi,Jambi Luar Kota,Simpang Sungai Duren,36657,"Jl. Raya Jambi - Muara Burlian KM. 18, Desa Simpang Sungai Duren, Kec. Jaluko, Kab. Muaro Jambi",2018,Deputi Klimatologi,SPL,XSYS 2
6,50018,X5,IKRO Staklim Bengkulu,-3.864852,102.312100,,Bengkulu,Bawil II,Kota Bengkulu,Kampung Melayu,Kandang Mas,38216,"Jl. Ir. Rustandi Sugianto, Pulau Baai, Bengkulu",2020,Deputi Klimatologi,SPL,XSYS 2
7,51111,X5,IKRO Staklim Sumatera Selatan,-2.927305,104.771940,,Sumatera Selatan,Bawil II,Kota Palembang,Sako,Suka Maju,30961,"Jl. Residen H. Amaluddin Sako Kenten, Palembang",2016,Deputi Klimatologi,SPL,XSYS 2
8,50008,X5,IKRO Staklim Bangka Belitung,-2.523300,106.416700,,Bangka Belitung,Bawil II,Bangka Tengah,Koba,Padang Mulia,33681,"Jl. Kartika I Kab. Bangka Tengah, Bangka Belitung",2018,Deputi Klimatologi,SPL,XSYS 2
9,50017,X5,IKRO Staklim Lampung,-5.172250,105.180383,,Lampung,Bawil II,Pesawaran,Tegineneng,Bumiagung,35363,"Jl. Raya Masgar - Tegineneng KM. 35, Bumiagung, Kec. Tegineneng, Kab. Pesawaran, Lampung",2020,Deputi Klimatologi,SPL,XSYS 2
10,50010,X5,IKRO Staklim Banten,-6.261590,106.751144,,Banten,Bawil II,Kota Tangerang Selatan,Pondok Aren,Pondok Betung,15221,Jl. Raya Kodam Bintaro No. 82 Tangerang Selatan,2018,Deputi Klimatologi,SPL,XSYS 2
